block_idx,small_block_idx,step,state,cache_state,decode_step,local_mode,dense_prefix_kv,filtered_prefix_kv,dense_local_kv,commit_total_kv,past_kv_value,current_past_kv,unmask_count
2,1,0,dense_no_cache,0,0,dense_no_cache,64,64,32,96,96,64,1
2,1,1,build_cache,1,1,build_cache_no_filter,64,64,32,96,64,64,3
2,1,2,reuse_cache,2,2,reuse_cache_no_filter,64,64,32,96,64,64,1
2,1,3,reuse_cache,2,3,reuse_cache_no_filter,64,64,32,96,64,64,3
2,1,4,reuse_cache,2,4,reuse_cache_no_filter,64,64,32,96,64,64,8
2,,5,commit,,,commit_block,64,64,32,96,96,64,
3,0,0,dense_no_cache,0,0,dense_no_cache,96,96,32,128,128,96,6
3,0,1,build_cache,1,1,build_cache_no_filter,96,96,32,128,96,96,4
3,0,2,reuse_cache,2,2,reuse_cache_no_filter,96,96,32,128,96,96,2
3,0,3,reuse_cache,2,3,reuse_cache_no_filter,96,96,32,128,96,96,1
3,0,4,reuse_cache,2,4,reuse_cache_no_filter,96,96,32,128,96,96,1
3,0,5,reuse_cache,2,5,reuse_cache_no_filter,96,96,32,128,96,96,1
3,1,6,dense_no_cache,0,0,dense_no_cache,96,96,32,128,128,96,5
3,1,7,build_cache,1,1,build_cache_no_filter,96,96,32,128,96,96,1
3,1,8,reuse_cache,2,2,reuse_cache_no_filter,96,96,32,128,96,96,2
3,1,9,reuse_cache,2,3,reuse_cache_no_filter,96,96,32,128,96,96,1
3,1,10,reuse_cache,2,4,reuse_cache_no_filter,96,96,32,128,96,96,1
3,1,11,reuse_cache,2,5,reuse_cache_no_filter,96,96,32,128,96,96,1
3,1,12,reuse_cache,2,6,reuse_cache_no_filter,96,96,32,128,96,96,1
3,1,13,reuse_cache,2,7,reuse_cache_no_filter,96,96,32,128,96,96,2
3,1,14,reuse_cache,2,8,reuse_cache_no_filter,96,96,32,128,96,96,1
3,1,15,reuse_cache,2,9,reuse_cache_no_filter,96,96,32,128,96,96,1
3,,16,commit,,,commit_block,96,96,32,128,128,96,
4,0,0,dense_no_cache,0,0,dense_no_cache,128,128,32,160,160,128,1
4,0,1,build_cache,1,1,build_cache_no_filter,128,128,32,160,128,128,1
4,0,2,reuse_cache,2,2,reuse_cache_no_filter,128,128,32,160,128,128,2
4,0,3,reuse_cache,2,3,reuse_cache_no_filter,128,128,32,160,128,128,1
4,0,4,reuse_cache,2,4,reuse_cache_no_filter,128,128,32,160,128,128,1
4,0,5,reuse_cache,2,5,reuse_cache_no_filter,128,128,32,160,128,128,2
4,0,6,reuse_cache,2,6,reuse_cache_no_filter,128,128,32,160,128,128,1
4,0,7,reuse_cache,2,7,reuse_cache_no_filter,128,128,32,160,128,128,3
4,0,8,reuse_cache,2,8,reuse_cache_no_filter,128,128,32,160,128,128,1
4,0,9,reuse_cache,2,9,reuse_cache_no_filter,128,128,32,160,128,128,2
4,1,10,dense_no_cache,0,0,dense_no_cache,128,128,32,160,160,128,2
4,1,11,build_cache,1,1,build_cache_no_filter,128,128,32,160,128,128,1
4,1,12,reuse_cache,2,2,reuse_cache_no_filter,128,128,32,160,128,128,3
4,1,13,reuse_cache,2,3,reuse_cache_no_filter,128,128,32,160,128,128,1
4,1,14,reuse_cache,2,4,reuse_cache_no_filter,128,128,32,160,128,128,1
4,1,15,reuse_cache,2,5,reuse_cache_no_filter,128,128,32,160,128,128,2
4,1,16,reuse_cache,2,6,reuse_cache_no_filter,128,128,32,160,128,128,1
4,1,17,reuse_cache,2,7,reuse_cache_no_filter,128,128,32,160,128,128,1
4,1,18,reuse_cache,2,8,reuse_cache_no_filter,128,128,32,160,128,128,1
4,1,19,reuse_cache,2,9,reuse_cache_no_filter,128,128,32,160,128,128,2
4,1,20,reuse_cache,2,10,reuse_cache_no_filter,128,128,32,160,128,128,1
4,,21,commit,,,commit_block,128,128,32,160,160,128,
5,0,0,dense_no_cache,0,0,dense_no_cache,160,160,32,192,192,160,4
5,0,1,build_cache,1,1,build_cache_no_filter,160,160,32,192,160,160,4
5,0,2,reuse_cache,2,2,reuse_cache_no_filter,160,160,32,192,160,160,1
5,0,3,reuse_cache,2,3,reuse_cache_no_filter,160,160,32,192,160,160,1
5,0,4,reuse_cache,2,4,reuse_cache_no_filter,160,160,32,192,160,160,3
5,0,5,reuse_cache,2,5,reuse_cache_no_filter,160,160,32,192,160,160,1
5,0,6,reuse_cache,2,6,reuse_cache_no_filter,160,160,32,192,160,160,1
5,1,7,dense_no_cache,0,0,dense_no_cache,160,160,32,192,192,160,1
5,1,8,build_cache,1,1,build_cache_no_filter,160,160,32,192,160,160,2
5,1,9,reuse_cache,2,2,reuse_cache_no_filter,160,160,32,192,160,160,2
5,1,10,reuse_cache,2,3,reuse_cache_no_filter,160,160,32,192,160,160,4
5,1,11,reuse_cache,2,4,reuse_cache_no_filter,160,160,32,192,160,160,3
5,1,12,reuse_cache,2,5,reuse_cache_no_filter,160,160,32,192,160,160,2
5,1,13,reuse_cache,2,6,reuse_cache_no_filter,160,160,32,192,160,160,1
5,1,14,reuse_cache,2,7,reuse_cache_no_filter,160,160,32,192,160,160,1
5,,15,commit,,,commit_block,160,160,32,192,192,160,
6,0,0,dense_no_cache,0,0,dense_no_cache,192,192,32,224,224,192,1
6,0,1,build_cache,1,1,build_cache_no_filter,192,192,32,224,192,192,1
